Regional_indicator,location,region,total_cases,total_deaths,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,gdp_per_capita,population,people_fully_vaccinated,ratio_total_cases,ratio_total_deaths,ratio_total_vaccinations,case_fatality_rate
South Asia,Bhutan,SA,62673.0,21.0,9.75,79.807,1.7,0.654,8708.597,782457.0,677669.0,8.009769226935154,0.002683853553613809,86.60782637256744,0.00033507251926666987
Southeast Asia,Brunei,SEA,308777.0,161.0,12.79,,2.7,0.838,71809.251,449002.0,446630.0,68.76962686135029,0.035857301303780384,99.47171727520144,0.0005214118927251706
Southeast Asia,Singapore,SEA,2506870.0,1841.0,10.99,,2.4,0.938,85535.383,5637022.0,5120969.0,44.471531244689125,0.03265908843357361,90.8452902968979,0.000734381918487995
East Asia,South Korea,EA,32256154.0,35071.0,6.8,,12.27,0.916,35938.374,51815808.0,44372679.0,62.25157002280076,0.06768397783163006,85.63540879262173,0.0010872653943802477
East Asia,China,EA,99292081.0,121490.0,9.74,,4.34,0.761,15308.712,1425887360.0,1276760000.0,6.963529082689954,0.008520308364329704,89.54143474558887,0.0012235618266475854
South Asia,Maldives,SA,186685.0,316.0,9.19,95.803,,0.74,15183.616,523798.0,385167.0,35.640647730613715,0.06032859995647177,73.53349955517203,0.0016926908964298149
East Asia,Mongolia,EA,1010034.0,2136.0,4.82,71.18,7.0,0.737,11840.846,3398373.0,2175617.0,29.721104775726502,0.06285360671121151,64.01937044579861,0.002114780294524739
Middle East and North Africa,United Arab Emirates,ME,1067030.0,2349.0,17.26,,1.2,0.89,67293.483,9441138.0,9792266.0,11.30192144209734,0.024880475213899002,103.71912792716303,0.002201437635305474
Middle East and North Africa,Bahrain,ME,696614.0,1536.0,16.52,,2.0,0.852,43290.705,1472237.0,1226796.0,47.31670240593056,0.10433102822439592,83.32870319113024,0.0022049513790994724
East Asia,Japan,EA,33803572.0,74694.0,5.72,,13.05,0.919,39002.223,123951696.0,103380343.0,27.27156875691318,0.06026057118250323,83.40373414495272,0.002209648140143296
Middle East and North Africa,Israel,ME,4829214.0,12568.0,6.74,,2.99,0.919,33132.32,9449000.0,6159825.0,51.10820192612975,0.1330087839983067,65.19023177055773,0.0026024939048052125
Southeast Asia,Laos,SEA,218491.0,671.0,4.0,49.839,1.5,0.613,6397.36,7529477.0,5222417.0,2.901808452300206,0.00891164153898073,69.35962484512537,0.0030710647120476358
Southeast Asia,Vietnam,SEA,11620623.0,43206.0,6.0,85.847,2.6,0.704,6171.884,98186856.0,85958364.0,11.835212444321467,0.04400385322450899,87.54569348874965,0.0037180450652258487
