Regional_indicator,Regional_indicator_id,location,region,total_cases,population,aged_65_older,total_cases_share
East Asia,1.0,China,EA,99292081.0,1425887360.0,10.641,6.963529082689954
South Asia,3.0,India,SA,44994351.0,1417173120.0,5.989,3.1749368065914205
East Asia,1.0,Japan,EA,33803572.0,123951696.0,27.049,27.27156875691318
East Asia,1.0,South Korea,EA,32256154.0,51815808.0,13.914,62.25157002280076
Middle East and North Africa,2.0,Turkey,ME,17004677.0,85341248.0,8.153,19.925507768529467
Southeast Asia,4.0,Vietnam,SEA,11620623.0,98186856.0,7.15,11.835212444321467
Middle East and North Africa,2.0,Iran,ME,7612537.0,88550568.0,5.44,8.596824585021295
Southeast Asia,4.0,Indonesia,SEA,6812127.0,275501344.0,5.319,2.4726293168283053
Southeast Asia,4.0,Malaysia,SEA,5122019.0,33938216.0,6.293,15.092186931687865
Middle East and North Africa,2.0,Israel,ME,4829214.0,9449000.0,11.733,51.10820192612975
Southeast Asia,4.0,Thailand,SEA,4752422.0,71697024.0,11.373,6.6284787496898065
Southeast Asia,4.0,Philippines,SEA,4165499.0,115559008.0,4.803,3.604651054117737
Southeast Asia,4.0,Singapore,SEA,2506870.0,5637022.0,12.922,44.471531244689125
Middle East and North Africa,2.0,Iraq,ME,2465545.0,44496124.0,3.186,5.541033192014657
South Asia,3.0,Bangladesh,SA,2042854.0,171186368.0,5.098,1.1933508630780694
Commonwealth of Independent States,0.0,Georgia,CWIS,1845538.0,3744385.0,14.864,49.28814745278597
Middle East and North Africa,2.0,Jordan,ME,1746997.0,11285875.0,3.81,15.479499817249437
South Asia,3.0,Pakistan,SA,1580631.0,235824864.0,4.495,0.6702562966388481
Commonwealth of Independent States,0.0,Kazakhstan,CWIS,1502857.0,19397998.0,6.991,7.747485075521711
Middle East and North Africa,2.0,Lebanon,ME,1238552.0,5489744.0,8.514,22.561197753483587
Middle East and North Africa,2.0,United Arab Emirates,ME,1067030.0,9441138.0,1.144,11.30192144209734
East Asia,1.0,Mongolia,EA,1010034.0,3398373.0,4.031,29.721104775726502
South Asia,3.0,Nepal,SA,1003371.0,30547586.0,5.809,3.2846163359684133
Middle East and North Africa,2.0,Saudi Arabia,ME,841469.0,36408824.0,3.295,2.3111677542784683
Commonwealth of Independent States,0.0,Azerbaijan,CWIS,831950.0,10358078.0,6.018,8.031895492580766
Middle East and North Africa,2.0,Palestine,ME,703228.0,5250076.0,3.043,13.394625144474098
Middle East and North Africa,2.0,Bahrain,ME,696614.0,1472237.0,2.372,47.31670240593056
South Asia,3.0,Sri Lanka,SA,672544.0,21832150.0,10.069,3.0805211580169614
Middle East and North Africa,2.0,Kuwait,ME,665982.0,4268886.0,2.345,15.600838251478255
Southeast Asia,4.0,Myanmar,SEA,640552.0,54179312.0,5.732,1.1822815321095255
Commonwealth of Independent States,0.0,Armenia,CWIS,449245.0,2780472.0,11.232,16.157148858179475
Middle East and North Africa,2.0,Oman,ME,399449.0,4576300.0,2.355,8.72864541223259
Southeast Asia,4.0,Brunei,SEA,308777.0,449002.0,4.591,68.76962686135029
South Asia,3.0,Afghanistan,SA,223354.0,41128772.0,2.581,0.5430602207136163
Southeast Asia,4.0,Laos,SEA,218491.0,7529477.0,4.029,2.901808452300206
South Asia,3.0,Maldives,SA,186685.0,523798.0,4.12,35.640647730613715
Commonwealth of Independent States,0.0,Uzbekistan,CWIS,170975.0,34627648.0,4.469,0.49375285321139917
Southeast Asia,4.0,Cambodia,SEA,138920.0,16767851.0,4.412,0.8284901863691417
Commonwealth of Independent States,0.0,Kyrgyzstan,CWIS,87891.0,6630621.0,4.489,1.3255319524370341
South Asia,3.0,Bhutan,SA,62673.0,782457.0,4.885,8.009769226935154
Southeast Asia,4.0,Timor,SEA,23457.0,1341298.0,3.556,1.7488283737096453
Commonwealth of Independent States,0.0,Tajikistan,CWIS,17786.0,9952789.0,3.466,0.1787036779338937
Middle East and North Africa,2.0,Yemen,ME,11945.0,33696612.0,2.922,0.03544866765833907
