income_status,development_status,parent,continent,location,iso_code,date,population,first_dose,last_dose,booster_dose,partially_vaccinated,total_vaccinations,total_vaccinations_per_million,partially_vaccinated_per_million,fully_vaccinated_per_million,first_dose_per_million,last_dose_per_million,booster_dose_per_million
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-03,39835428,436061,48631,0,387430,484692,12167.36017,9725.764714,1220.797728,10946.56244,1220.797728,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-07,39835428,1136412,733359,0,403053,1869771,46937.3895,10117.9533,18409.7181,28527.6714,18409.7181,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-08,39835428,1563763,1232566,0,331197,2796329,70197.03667,8314.131833,30941.45242,39255.58425,30941.45242,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-09,39835428,1924199,1567639,0,356560,3491838,87656.59553,8950.826385,39352.88457,48303.71096,39352.88457,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-10,39835428,2970432,2630091,0,340341,5600523,140591.5107,8543.676247,66023.9172,74567.59345,66023.9172,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-11,39835428,3925167,3592966,0,332201,7518133,188729.8161,8339.335528,90195.24028,98534.57581,90195.24028,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2021-12,39835428,4314507,3794019,0,520488,8108526,203550.6183,13065.95727,95242.33052,108308.2878,95242.33052,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2022-01,40754388,4577740,3912336,0,665404,8490076,208322.9909,16327.17439,95997.90825,112325.0826,95997.90825,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2022-03,40754388,5188057,4532577,0,655480,9720634,238517.4818,16083.66687,111216.9075,127300.5744,111216.9075,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2022-04,40754388,5313189,4663059,0,650130,9976248,244789.5427,15952.39266,114418.575,130370.9677,114418.575,0
Low income,Least developed,world,Asia,Afghanistan,AFG,2022-05,40754388,5498864,4851612,0,647252,10350476,253972.0631,15881.7745,119045.1443,134926.9188,119045.1443,0
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-02,2872933,121195,140571,91190,-19376,352956,122855.6322,-6744.327139,48929.43901,42185.11187,48929.43901,31741.08133
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-03,2872933,285193,166144,98717,119049,550054,191460.7824,41438.14005,57830.79522,99268.93527,57830.79522,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-04,2872933,518634,238310,98717,280324,855661,297835.3481,97574.15157,82950.07228,180524.2239,82950.07228,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-05,2872933,607739,455950,98717,151789,1162406,404606.0246,52834.15938,158705.4066,211539.566,158705.4066,34361.05193
Middle income,Economy in transition,world,Europe,Albania,ALB,2021-06,2872933,685373,559941,98717,125432,1344031,467825.3896,43659.91132,194902.2132,238562.1245,194902.2132,34361.05193
